query,answer,gt_sources,start_candidates
"Between 1995 and 2022, did the peak in the number of unauthorized immigrants in the U.S. workforce occur before or after the peak in the number of Mexican unauthorized immigrants?",The peak in the number of unauthorized immigrants in the U.S. workforce occurred after the peak in the number of Mexican unauthorized immigrants.,"[""chart_00142_06"", ""chart_00142_04""]",White voters
"Over the period from 1995 to 2022, what was the overall change in the size of the unauthorized immigrant workforce in the United States, and how did the demographic composition of this workforce change during the same time frame?","The unauthorized immigrant workforce more than doubled in size, growing from 3.6 million to 8.3 million, while the demographic composition shifted significantly after 2017, with immigrants from countries other than Mexico becoming the majority.","[""chart_00142_06"", ""chart_00142_04""]",Asian voters
"From 2020 to 2024, did the trend in U.S. adults identifying as Democrats who believe the Supreme Court has too much power coincide with a high level of public concern about special interest groups' influence in politics?",Yes,"chart_00153_04,chart_00073_05",U.S. Adults (18+)
"From August 2020 to July 2024, did the percentage of U.S. adults who believe the Supreme Court has too much power increase or decrease, and how does this trend compare to the 2023 public sentiment regarding limits on election spending?","Increased from 25% to 42%. In July 2023, 40% of U.S. adults believed the Supreme Court had too much power, coinciding with 72% of adults supporting limits on election spending.","chart_00153_04,chart_00073_02",U.S. Adults (18+)
"Among Asian adults, did the proportion who viewed racial bias in hiring as a major problem exceed the proportion living below the poverty line who felt the American Dream was unattainable?","Yes, 49% compared to 47%.","chart_00028_07,chart_00203_09",Asian Respondent Definition
"Among U.S. religious groups in 2024, did the group with the highest level of concern about the migrant influx at the U.S.-Mexico border also demonstrate the strongest support for Trump in the presidential election?","Yes, White evangelical Protestants had 70% viewing the influx as a crisis and 81% supporting Trump, which were the highest percentages among all religious groups.","chart_00184_01,chart_00224_02",American Trends Panel
"Between 2023 and 2024, did Nigerians' favorable views of the United Nations increase or decrease, and how does this trend compare to the general sentiment in developed nations about the impact of emerging economies on their countries?","Nigerians' favorable views of the United Nations decreased by 9 percentage points between 2023 and 2024. This declining trend contrasts with the generally positive sentiment in developed nations, where 39% of Americans and 51% of Germans view the rise of emerging economies as 'more of a good thing' for their countries.","chart_00252_02,chart_00111_06",Nigeria
"Between February and September 2024, did the percentage of Muslim Americans who believe the U.S. should play a major role in diplomatically resolving the Israel-Hamas war increase or decrease, considering the social attitudes observed in Muslim-majority nations?",Increased,"chart_00247_02,paragraph_00094_02",Nigeria
"From 2022 to 2023, did the proportion of adults in France using social media sites increase or decrease, considering France's membership in the European Union and its alignment with broader regional digital engagement patterns?",Increased,"chart_00187_01,paragraph_00076_01",France
"Between 2021 and 2023, what was the overall direction of change in the percentage of U.S. adults who felt more concerned than excited about artificial intelligence, and which group (those concerned 'a lot' versus 'a little') demonstrated a greater year-over-year increase from 2022 to 2023?",Increased; the group concerned 'a little' showed a larger year-over-year increase.,"chart_00103_03,chart_00025_02",Respondents who did not give an answer
"Among countries where religion is considered highly important in daily life, which nation showed the smallest change in social media usage between 2022 and 2023, and did this usage increase or decrease during that period?","Nigeria showed the smallest change, with social media usage increasing by 2 percentage points.","chart_00187_01,paragraph_00094_05",Nigeria
"In the 2023 survey on cultural practices across Asian regions, which location showed the highest level of engagement in burning incense as a ritual to honor ancestors during the past year?",Vietnam,"chart_00261_04,paragraph_00128_02",Christians
"From March 2023 to the 2024 survey period, which group showed a larger decline in support for banning TikTok: U.S. adult users or non-users of the platform, and did either group demonstrate a notable change in uncertainty about the ban?","Non-users showed a larger decline in support for banning TikTok (decreasing by 18 percentage points), compared to users (decreasing by 9 percentage points). Only non-users demonstrated a notable increase in uncertainty about the ban.","paragraph_00251_03,chart_00251_04,chart_00210_05",Valid TikTok Handle
"From 2021 to 2023, did the level of concern among U.S. adults regarding artificial intelligence's impact on daily life show an upward trend, and how did this compare to the trend in concern about government data usage from 2019 to 2023?","Yes, concern about artificial intelligence's impact on daily life increased from 37% to 52% between 2021 and 2023, while concern about government data usage increased from 64% to 71% between 2019 and 2023.","chart_00018_02,chart_00025_01",Respondents who did not give an answer
"Among religious groups that considered foreign policy a very important issue for the 2024 presidential election, which group showed the largest increase in the percentage saying the U.S. should play a major diplomatic role in resolving the Israel-Hamas war between February and September 2024?",Jewish Americans,"chart_00253_04,chart_00247_02",Protestant
"In Indonesia, how does the trend in Christians' perception of religious diversity's impact on quality of life compare to the general adult population?",Christians in Indonesia showed a higher percentage (67%) believing religious diversity makes the country a better place to live compared to the general population (50%).,"chart_00091_02,chart_00204_04",Christians
"Between 2023 and 2024, how did the trend in the percentage of U.S. adults aged 18-29 who agree that the Holocaust is a myth compare to the trend observed among adults aged 45-64?","The percentage for the 18-29 age group increased from 3% to 20%, while the 45-64 age group increased from 2% to 8%, resulting in a larger increase for the younger group.","chart_00253_04,chart_00186_04",American Trends Panel
"Between February 2024 and the period when U.S. adults were surveyed about presidential qualifications in late 2024, did Muslim Americans show an increase or decrease in support for U.S. diplomatic involvement in resolving the Israel-Hamas conflict?",Increased from 27% to 40% between February and September 2024,"chart_00247_02,chart_00255_02",Survey of Asian American adults
"Between 2023 and 2024, did Nigerians' assessments of their country's economic situation and their favorable views toward the United Nations both increase, both decrease, or move in opposite directions?",Both decreased,"chart_00114_02,chart_00252_02",Nigeria
"Among East Asian countries included in surveys on ancestor-honoring traditions, which nation demonstrated the highest level of adult participation in burned incense practices?",Vietnam,"chart_00128_02,chart_00261_04",Survey of Asian American adults
"Compared to the country with the highest support for same-sex marriage in Western Europe, did France experience a larger or smaller decline in favorable views of the United Nations from 2023 to 2024?",Larger,"chart_00252_02,paragraph_00094_02",France
"Between 2022 and 2024, did the prioritization of climate change as a significant issue among Evangelical Protestants increase or decrease?",Decreased,"chart_00048_01,chart_00253_04",Protestant
Did both the total unauthorized immigrant population and the unauthorized immigrant workforce in the United States experience a decline until 2019 followed by an increase in 2022?,Yes,"paragraph_00142_01,paragraph_00142_06",Vermont
"Between February and September 2024, did Muslim Americans' support for the U.S. playing a major role in diplomatically resolving the Israel-Hamas conflict increase or decrease, and how did this trend compare with the level of uncertainty about presidential candidates' qualifications during the same period?","Increased, with 40% support in September 2024 compared to 27% in February, and the September 2024 support level was higher than the 36-37% uncertainty rate about presidential candidates' qualifications.","chart_00247_02,chart_00255_02",Survey of Asian American adults
"Among European Union member countries that expressed favorable views of the European Union in the 2023 Global Attitudes Survey, what was the general direction of change in public assessment of their national economic situation between 2023 and 2024?",Increased,"chart_00114_02,paragraph_00112_01",2023 Global Attitudes Survey
"Between March 2023 and 2024, which demographic group—TikTok users or non-users—experienced a larger decline in support for a government ban on the platform?",Non-users,"paragraph_00251_03,chart_00251_04",Valid TikTok Handle
"Between 2022 and 2024, did the trend in French adults' favorable opinions of the European Union align with a period when social media was predominantly viewed as having a negative impact on democracy in France?","Yes, favorable opinions of the European Union among French adults decreased by 15 percentage points from 2022 to 2024, coinciding with a period when a majority in France perceived social media as having a negative impact on democracy during 2022-2023.","chart_00112_02,paragraph_00178_01",France
"From March 2023 to July-August 2024, did the percentage of U.S. adults who support a government ban on TikTok increase or decrease, and is the current support level higher or lower than the percentage who believe it is likely the ban will happen?",Decreased; higher,"paragraph_00251_01,chart_00251_04",Valid TikTok Handle
"For the issue that White Evangelical voters identified as very important for the 2024 presidential election, did the percentage of Americans perceiving common ground between political parties increase or decrease between January 2023 and May 2024?",Decreased,"chart_00253_04,chart_00124_02",White Evangelical
"Between 2022 and 2023, which partisan group experienced a more significant decline in viewing Russia’s invasion of Ukraine as a major threat to American interests, and how does this trend relate to partisan differences in self-identification as 'traditional' observed in 2024?","Republicans experienced a more significant decline, and this aligns with Republicans being more likely to describe themselves as 'traditional' compared to Democrats.","chart_00102_02,chart_00169_02",Perception in 2022
"Among Asian American adults living in poverty, does the prevalence of seeking support from family or friends for living expenses exceed the prevalence of perceiving the American dream as unattainable?",Yes,"chart_00203_08,chart_00203_09",Survey of Asian American adults
"In Hong Kong in 2023, was the proportion of adults identifying primarily as Hong Kongers higher or lower than the proportion perceiving China's power as a major threat?",Lower,"paragraph_00100_03,chart_00100_04",Buddhism
"From 2010 to 2021, did the percentage of adults in China who identify as Christian increase or decrease, and what is the current percentage of adults in Taiwan who engage in burning incense as part of traditions to honor ancestors?","Decreased, 81%","paragraph_00105_01,chart_00261_04",Buddhism
"In recent years, has the Democratic Party maintained a stronger connection with Hispanic voters compared to the Republican Party, and how do gender and age influence this connection among Hispanic voters?","Yes, and women and voters aged 50 and older are more likely to have a favorable opinion of the Democratic Party.","chart_00139_02,paragraph_00139_02",Women
"From 2022 to 2023, did the increase in U.S. adults feeling more concerned than excited about AI's impact differ between those familiar with artificial intelligence and the general population?","Yes, the percentage increased by 19 points among those familiar with AI 'a little' and 16 points among those familiar 'a lot', compared to a 14-point increase in the overall population.","chart_00025_01,chart_00025_02",Respondents who did not give an answer
"Among the surveyed countries, is the difference between internet usage and social media usage generally larger in nations with higher internet penetration or in those with lower internet penetration?",Larger in nations with higher internet penetration,"chart_00068_02,chart_00187_01",Nigeria
"Among Peruvians in 2024, was the percentage holding a favorable opinion of Brazil higher or lower than the percentage expressing confidence in Brazil's president?",Higher,"chart_00260_02,chart_00260_04",Peru
"Given that White Evangelical voters consider foreign policy a very important issue for the 2024 election, did the perception of common ground between the parties on foreign policy among Americans increase or decrease between January 2023 and May 2024?",Decreased,"chart_00253_04,chart_00124_02",White Evangelical
"Among U.S. religious groups surveyed in 2024, which group demonstrated the largest disparity between the percentage viewing migrant influx at the U.S.-Mexico border as a crisis and their representation among Democratic voters in the 2023 survey?",White evangelical Protestants,"chart_00184_01,chart_00159_04",White Catholic
