query,answer,gt_sources,gt_entities,start_candidates,type
"White Evangelical Protestants, a religious group with a strong stance on border issues, express a high percentage viewing the U.S.-Mexico border migrant influx as a crisis. This same group demonstrates a specific level of support for U.S. diplomatic involvement in resolving the Israel-Hamas conflict. Additionally, Black voters show a distinct preference regarding whether immigrants fill jobs Americans would like to have. What is the sum of the crisis view percentage and the Black voters' job preference percentage, minus the diplomatic support percentage?",77%,"[""chart_00184_01"", ""chart_00247_02"", ""chart_00237_02""]","[""White Evangelical Protestants"", ""Black voters""]","[""American Trends Panel""]",long
"Among Protestant subgroups in the United States, do those who place greater importance on judicial appointments in presidential elections also express higher levels of concern about the societal impact of declining marriage rates?","Yes, White Evangelical Protestants, who are more likely to prioritize judicial appointments in presidential elections (62%), express higher concern about the societal impact of declining marriage rates (55%) compared to Mainline Protestants (42%) and Historically Black Protestants (34%).","[""chart_00042_01"", ""chart_00253_04""]","[""White Evangelical"", ""Supreme Court Appointments"", ""Historically Black Protestant""]","[""Protestant""]",analysis
"Political alignment in the United States influences the perceived importance of obtaining news from journalists who share one's political views. This alignment is captured in a 2023 survey of U.S. adults. This survey also measured public perception of climate scientists' understanding of climate change solutions, including a specific level of understanding regarding the best approaches to address climate change. Additionally, an international survey from the same period documented social media usage rates across various countries, with one country exhibiting the highest usage rate. The country with the highest social media usage rate has a particular percentage of users, while the U.S. political group that most values journalist alignment shows a specific percentage. What is the percentage-point difference between the social media usage rate of this country and the percentage of the U.S. political group, minus the percentage of Americans who believe climate scientists understand climate change solutions at that specific level of understanding?",The percentage-point difference is -12.,"[""chart_00232_02"", ""chart_00187_01"", ""chart_00077_01""]","[""Political View Alignment"", ""Social Media Usage"", ""Fairly well""]","[""Political View Alignment""]",long
"Among adults aged 18-34 in Taiwan, does the strong identification with local identity correlate with both high participation in traditional cultural practices and political alignment with parties that view the United States' influence more favorably?","Yes, among adults aged 18-34 in Taiwan, strong identification with local identity correlates with both high participation in traditional cultural practices and political alignment with parties that view the United States' influence more favorably.","[""chart_00056_02"", ""chart_00261_04"", ""paragraph_00056_02"", ""paragraph_00099_04""]","[""Ages 18-34"", ""Taiwanese identity"", ""DPP""]","[""Ages 18-34""]",analysis
"A global survey conducted in 2022 and 2023 measured internet usage and social media engagement across multiple countries. This survey found that in one nation, the percentage of people using the internet was only slightly higher than those using social media platforms. This small difference between internet and social media usage rates was among the narrowest gaps observed worldwide. This same country reported particularly strong positive views about social media's impact on democratic processes. Within the survey's assessment of social media's democratic influence, what percentage of adults in this country stated that social media has had a positive effect on democracy?",77% of adults in Nigeria stated that social media has had a positive effect on democracy.,"[""chart_00187_01"", ""chart_00068_02"", ""paragraph_00178_01""]","[""Nigeria"", ""internet usage"", ""social media usage"", ""democracy assessment""]","[""Nigeria""]",long
"France, a country where same-sex marriage is legal, demonstrates a high level of public support for LGBTQ+ rights. This support level is significantly higher than in an Asian country where same-sex marriage was recently discussed during political campaigns. The population of France also shows a high rate of engagement with digital platforms, with a majority using social media sites. The difference in support for same-sex marriage between these two countries is greater than the difference between France's internet usage rate and its social media usage rate. What is the percentage-point difference between France's support for same-sex marriage and the support level in the Asian country that recently discussed same-sex marriage during its political campaigns?",The percentage-point difference between France's support for same-sex marriage (82%) and Thailand's support level (60%) is 22.,"[""paragraph_00094_02"", ""paragraph_00095_01"", ""chart_00187_01""]","[""France"", ""Thailand""]","[""France""]",long
"Among U.S. adults, is the percentage of Republicans and Republican leaners who consider the Russia-Ukraine war important to U.S. national interests lower than the overall percentage of U.S. adults who consider it important to their personal interests?",No,"[""chart_00189_05"", ""chart_00175_01""]","[""Republicans and Republican leaners"", ""U.S. adults overall""]","[""Russia-Ukraine War""]",analysis
Did the percentage-point change in France's favorable opinion of the European Union between 2022 and 2024 exceed the typical ideological gap in EU favorability observed across European countries?,"No, the 15 percentage-point decline in France's EU favorability was less than the typical ideological gap of at least 20 points.","[""chart_00112_02"", ""paragraph_00112_06""]","[""France"", ""European Union"", ""Right-wing Populist Parties""]","[""France""]",easy
"Among registered voters, is the difference in religious affiliation patterns between Democratic-leaning voters and the general voting population larger than the difference in support for the idea that legal immigrants fill jobs Americans would like to have between Black and White voters?",The difference in religious affiliation patterns (12 percentage points) is larger than the difference in views on immigration (8 percentage points).,"[""chart_00159_04"", ""chart_00237_02""]","[""Democratic-leaning voters"", ""general voting population"", ""Black voters"", ""White voters""]","[""American Trends Panel""]",easy
"A country administering multiple overseas territories experienced a notable percentage-point decline in public favorability toward a major international organization between 2022 and 2024. This decline was documented in a global survey that also assessed media usage patterns across middle-income nations. Within this media assessment, one country reported the highest percentage of adults using a specific social media platform. How many percentage points higher is this usage rate compared to the percentage-point decline in the first country's favorability?",75 percentage points higher,"[""paragraph_00078_06"", ""chart_00070_05"", ""chart_00199_01""]","[""overseas territories"", ""percentage-point decline"", ""highest usage rate""]","[""2023 Global Attitudes Survey""]",long
"Consider a society in East Asia where more than half of adults believe the future will be better if the society is open to changes regarding its traditions and way of life. This society has a political party that is the governing party, and supporters of this party are significantly more likely to view the power and influence of a neighboring country as a major threat compared to supporters of the main opposition party. What is the percentage of the governing party's supporters who hold this view?",78%,"[""chart_00137_03"", ""chart_00056_04"", ""paragraph_00099_02""]","[""Perception of China as a Major Threat to Taiwan"", ""Is open to changes regarding its traditions and way of life""]","[""Oregon""]",long
"Among middle-income countries, do those with high social media usage (at least 70% of adults using WhatsApp or Facebook) show a larger average improvement in positive economic sentiment from 2023 to 2024 compared to countries with lower social media usage (below 70% for both platforms)?","No, the average improvement in positive economic sentiment is 4.75 percentage points in high social media usage countries and 9 percentage points in lower usage countries.","[""chart_00114_02"", ""chart_00199_01""]","[""Economic situation rated as good (2024)"", ""Media Usage in Middle-Income Countries""]","[""2023 Global Attitudes Survey""]",analysis
"Among U.S. adult TikTok users, does the majority opposition to banning the platform align with their perception that such a ban is unlikely to be implemented?","Yes, 61% of U.S. adult TikTok users oppose a ban while 54% believe it is unlikely to occur, indicating alignment between opposition and perceived unlikelihood.","[""paragraph_00251_03"", ""chart_00251_04""]","[""Support for ban (L1)"", ""Likely (L2)""]","[""Valid TikTok Handle""]",analysis
"Among Asian adults in the United States, does the perception that racial and ethnic bias in hiring is a major problem correlate with a broader sense of economic disenfranchisement, such as the belief that the American dream is unattainable for their community?","Yes, 49% of Asian adults identify racial bias in hiring as a major problem, and 47% of Asian adults living in poverty report the American dream is out of reach, indicating systemic discrimination correlates with economic hopelessness.","[""chart_00028_07"", ""chart_00203_09""]","[""Asian Respondent Definition (L2)"", ""Major Problem (L2)""]","[""Asian Respondent Definition""]",analysis
"White Catholic voters perceive the migrant influx at the U.S.-Mexico border as a significant concern, with a majority viewing it as a crisis. This demographic is part of a broader White voter population, whose religious composition was documented in a 2023 voter profile. Within this larger group, a substantial portion expresses reluctance toward legal immigrants filling jobs Americans would like to have. What is the percentage-point difference between White Catholic voters who see the migrant situation as a crisis and White voters who do not want legal immigrants to fill such jobs?",The percentage-point difference is 3.,"[""chart_00159_04"", ""chart_00237_02"", ""chart_00184_01""]","[""White Catholic voters"", ""migrant influx crisis"", ""White voters"", ""legal immigrants jobs""]","[""White Catholic""]",long
"U.S. adults were surveyed about their perceptions of the political system, with a large majority agreeing that Republicans and Democrats are more focused on fighting each other than solving problems. This same demographic group showed strong support for limiting election spending. Within this context, religious groups exhibited varying levels of concern about societal trends, with one group demonstrating the most extreme difference in negative perception regarding the decline of marriage. What is the percentage-point difference between the support for election spending limits and the most extreme negative perception difference for marriage decline?",21 percentage points,"[""chart_00073_05"", ""chart_00073_02"", ""chart_00042_01""]","[""U.S. adults"", ""election spending limits"", ""religious groups"", ""marriage decline""]","[""U.S. Adults (18+)""]",long
"Start with a 2023 survey of U.S. adult TikTok users that identified the fraction of users responsible for the vast majority of public content. This survey used automated web scraping to collect account data. The specific percentage of users who produced 98% of public content is a key figure. This figure, when added to the percentage-point difference between the current support for a ban among non-users and the percentage of non-users who believe it is likely that TikTok will be banned, yields a particular value. What is this value?",35,"[""chart_00210_05"", ""paragraph_00251_03"", ""chart_00251_04""]","[""Automated Web Scraping"", ""Support for ban"", ""Likely""]","[""Valid TikTok Handle""]",long
"Among registered voters in the 2024 presidential election, is the proportion of Democrats who identify with no religious affiliation higher than that of the overall voter population, and does this group show stronger support for the Democratic presidential candidate compared to the general electorate?","Yes. The proportion of religiously unaffiliated is 12 percentage points higher among Democrats (38% vs 26%), and their support for the Democratic candidate is 21 percentage points higher (69% vs 48%).","[""chart_00159_04"", ""chart_00224_02""]","[""Religiously unaffiliated"", ""Democratic presidential candidate""]","[""American Trends Panel""]",easy
"In all countries where public support for same-sex marriage rights is below 10%, is internet usage above 50%?","Yes, internet usage is above 50% in all countries with public support for same-sex marriage rights below 10%.","[""paragraph_00094_02"", ""chart_00068_02""]","[""Nigeria"", ""Kenya"", ""Indonesia""]","[""Nigeria""]",analysis
"In countries where social media is generally viewed as beneficial for democracy, how does the level of social media usage compare to the level of connection people report feeling with others in their local community in Nigeria?","Nigeria has moderate social media usage (55%) but reports one of the highest levels of connection to people in the local community (91%), showing that strong community bonds exist despite relatively limited social media adoption.","[""chart_00187_01"", ""chart_00228_01"", ""paragraph_00178_01""]","[""Nigeria"", ""Social Media Usage"", ""People in their local community""]","[""Nigeria""]",easy
"France has a specific rate of internet usage among its residents, which is reflected in the proportion of the population that accesses online platforms. This internet usage rate, however, exceeds social media engagement by a particular margin. Within this same country, public opinion regarding an international political leader shows a distinct pattern of trust. How does the percentage-point difference between social media usage and overall internet usage in this country compare to the percentage of citizens expressing confidence in this political leader?","The percentage-point difference between social media usage and internet usage in France is 25 percentage points (92% internet users minus 67% social media users), while 44% of French citizens express confidence in Biden regarding world affairs. Therefore, the confidence percentage (44%) is higher than the usage gap (25 percentage points).","[""chart_00187_01"", ""chart_00068_02"", ""paragraph_00120_03""]","[""France"", ""social media usage"", ""internet usage"", ""Biden""]","[""France""]",long
"In spring 2024, among people in Peru, is the percentage with a favorable opinion of Brazil higher than the percentage who have confidence in Brazil's president?","Yes, the percentage of people in Peru with a favorable opinion of Brazil (58%) is higher than the percentage who have confidence in Brazil's president (30%).","[""chart_00260_02"", ""chart_00260_04""]","[""['Favorable opinion of Brazil', \\\""Confidence in Brazil's president\\\""]""]","[""Peru""]",easy
"In the spring 2024 surveys, does the share of people in Peru with a favorable opinion of Brazil exceed the share expressing confidence in Brazil's president?","Yes, 58% have a favorable opinion of Brazil compared to 30% expressing confidence in the president.","[""chart_00260_02"", ""chart_00260_04"", ""paragraph_00260_01""]","[""Favorable opinion of Brazil"", ""No confidence""]","[""Peru""]",easy
"In Nigeria, where same-sex marriage is illegal, how does the percentage-point difference between general internet usage and social media usage compare to the level of public support for same-sex marriage?","The percentage-point difference between internet usage and social media usage in Nigeria is equal to its level of public support for same-sex marriage, with both values at 2 percentage points.","[""chart_00187_01"", ""paragraph_00094_02""]","[""Nigeria"", ""Internet Usage"", ""Same-sex marriage""]","[""Nigeria""]",easy
"Among states with the lowest percentage of Black eligible voters (0-5%), is the unauthorized immigrant population typically under 25,000?","Yes, all states with 0-5% Black eligible voters have unauthorized immigrant populations under 25,000.","[""chart_00053_04"", ""chart_00142_05""]","[""0-5% Black eligible voters"", ""<25K""]","[""Alaska""]",analysis
"Among Black Protestant adults in the United States, does the widespread belief that violence in home countries drives migration lead to the perception that the current level of migration constitutes a crisis?","No, because 72% of Black Protestant adults believe violence in home countries is a major reason for migrant influx, but only 32% view the migrant influx as a crisis.","[""chart_00184_01"", ""chart_00184_02""]","[""Black Protestant (L1)"", ""Crisis (L2)""]","[""Protestant""]",analysis
"A country administering numerous overseas territories is often noted for having the most time zones worldwide. This country has a specific percentage of its population identifying as atheist. Within the United States, a particular political group's support for a major social policy reached a notable high level in 2024. What is the percentage-point difference between this U.S. group's support level and the overseas-territory-administering country's non-religious population percentage?",62 percentage points,"[""paragraph_00078_06"", ""chart_00070_05"", ""chart_00159_09""]","[""['overseas territories', 'non-religious population percentage', \\\""U.S. political group's support level\\\""]""]","[""2023 Global Attitudes Survey""]",long
"Among U.S. registered voters surveyed in 2024, how does the perception that undocumented immigrants fill jobs that citizens don't want differ between White voters and other racial groups, particularly considering the long-term demographic composition of the undocumented immigrant population in the United States?",White voters (75%) have a perception that undocumented immigrants fill jobs citizens don't want that is higher than Black voters (71%) but lower than Hispanic (79%) and Asian (90%) voters.,"[""chart_00142_04"", ""paragraph_00237_02""]","[""White voters"", ""Undocumented immigrants""]","[""White voters""]",analysis
"Considering the relationship between general internet access and social media adoption across Western European nations, what is the percentage-point gap between France's internet usage rate and its social media usage rate according to the most recent survey data?",France's social media usage is 25 percentage points lower than its overall internet usage.,"[""chart_00187_01"", ""chart_00068_02""]","[""France"", ""Social Media Usage"", ""Internet Usage""]","[""France""]",easy
"Among adults in Singapore surveyed in 2022, what is the percentage-point difference between the proportion who believe religious diversity has a positive effect on the country and the proportion who say that being a member of the country's most common religion is very important to national identity?",43 percentage points,"[""chart_00091_02"", ""chart_00013_03""]","[""Singapore"", ""Buddhism""]","[""Survey Date: Sept. 16-22, 2024""]",easy
"Black Protestant Americans demonstrated a particular level of support for U.S. diplomatic involvement in the Israel-Hamas conflict during September 2024. This group's representation among Democratic voters is a specific percentage. White evangelical Protestants, who share the same support level for diplomatic involvement as Black Protestants, constitute a distinct percentage among Republican voters. The sum of the percentage-point differences between each group's support level and their respective voter representation is what value?",16 percentage points,"[""chart_00247_02"", ""chart_00136_04"", ""chart_00159_04""]","[""Black Protestant"", ""Democratic voters"", ""White evangelical Protestants"", ""Republican voters""]","[""Protestant""]",long
"The representation of White Non-Evangelical Protestant voters among Republican-leaning voters exceeds that among all voters by a certain number of percentage points. This disparity is observed alongside a difference in views between White and Black voters regarding legal immigrants filling jobs Americans would like to have, where Black voters show a higher percentage. What is the sum of these two percentage-point differences?",The sum of the two percentage-point differences is 10.,"[""chart_00136_04"", ""chart_00159_04"", ""chart_00237_02""]","[""White Non-Evangelical Protestant"", ""White Voters"", ""Black Voters""]","[""Protestant""]",long
"Despite France maintaining high support for social liberal policies, how does the decline in its favorable views toward the European Union from 2022 to 2024 compare to the decline in its favorable views toward the United Nations from 2023 to 2024?",The decline in favorable views toward the European Union was larger (15 percentage points) compared to the decline in favorable views toward the United Nations (9 percentage points).,"[""chart_00112_02"", ""chart_00252_02"", ""paragraph_00094_02""]","[""France"", ""European Union"", ""United Nations"", ""social liberal policies""]","[""France""]",easy
"An international survey from 2023 measured religious non-affiliation and EU favorability trends. Germany, which has a moderate rate of adults identifying as atheist, saw a notable decline in favorable views of the EU between 2019 and 2024. This country fully observes daylight saving time in all regions. Spain, with a lower rate of religious non-affiliation, experienced a smaller decline in EU favorability and only partially observes daylight saving time. What is the difference in the percentage-point decline of EU favorability between these two countries?","Germany experienced a 15 percentage-point decline (from 78% to 63%) in EU favorability, while Spain had an 8 percentage-point decline (from 71% to 63%), resulting in a 7 percentage-point difference.","[""chart_00112_02"", ""chart_00070_05"", ""chart_00078_02""]","[""Germany"", ""Spain""]","[""2023 Global Attitudes Survey""]",long
"In a 2023 survey of U.S. Black adults, community-connected individuals reported a higher percentage of perceiving local journalists as being in touch with their local community compared to the overall population. This difference is a specific number of percentage points. The same survey also found that a large majority of all U.S. Black adults consider it extremely or very important for journalists to cover all sides of the issues in the story. What is the percentage-point difference between the community-connected group and the overall population in perceiving local journalists as being in touch, and what percentage of all Black adults consider it extremely or very important for journalists to cover all sides?",The percentage-point difference is 9 and 76% of all Black adults consider it extremely or very important.,"[""chart_00081_03"", ""chart_00081_04"", ""chart_00173_05""]","[""Survey of U.S. Black Adults"", ""Community Attachment"", ""Black Hispanic Adults""]","[""Perception in 2023""]",long
"Considering Nigeria's internet usage rate, declining views toward international institutions, and attitudes toward minority rights, does the country demonstrate a pattern where technology adoption is not accompanied by corresponding social liberalization?","Yes, Nigeria's moderate internet usage rate (57%) does not align with progressive social attitudes, as evidenced by declining views toward international institutions (69% favorable view of the UN in 2024, down from 78% in 2023) and extremely conservative attitudes toward minority rights (only 2% support same-sex marriage).","[""chart_00068_02"", ""chart_00252_02"", ""paragraph_00094_02""]","[""Nigeria"", ""Internet Users"", ""Favorable views of the United Nations"", ""LGBT rights""]","[""Nigeria""]",analysis
What is the percentage of Asian American adults of the origin country with the second highest rate of adults providing items for ancestral needs in the afterlife who have a favorable view of their ancestral homeland?,92%,"[""chart_00128_02"", ""chart_00103_07""]","[""Taiwan"", ""Offered money or other things they may need in the afterlife""]","[""Survey of Asian American adults""]",easy
"White evangelical Protestants demonstrated a specific level of concern about the decline of marriage, with a certain percentage indicating a negative impact. This demographic also viewed immigration policy as a very important issue for the 2024 presidential election by a particular percentage. Additionally, Historically Black Protestants expressed a distinct level of concern about global climate change, with another percentage considering it an extremely serious problem. What is the average percentage across these three specific measures?",The average percentage is approximately 63.3%,"[""chart_00042_01"", ""chart_00253_04"", ""chart_00048_01""]","[""White evangelical Protestants"", ""Historically Black Protestants""]","[""Protestant""]",long
"Among religious groups in the United States, does higher concern about the societal impact of declining marriage rates compared to declining birth rates correlate with a lower proportion of Democratic voters?","Yes, religious groups with higher concern about declining marriage rates relative to birth rates generally have a lower proportion of Democratic voters compared to their share among all voters.","[""chart_00042_01"", ""chart_00159_04""]","[""Catholic"", ""Democratic voters""]","[""American Trends Panel""]",analysis
"Among White Evangelical Protestants in the United States, does their high level of concern about societal trends related to family structure correlate with their attribution of migrant influxes to U.S. immigration policies rather than international factors like violence in home countries?","Yes, White Evangelical Protestants show 55% viewing declining marriage rates as a negative impact and 74% attributing migrant influxes to U.S. immigration policies, while only 50% cite violence in home countries as a major reason, indicating a stronger focus on domestic policy factors over international circumstances.","[""chart_00042_01"", ""paragraph_00184_02""]","[""Negative impact perception"", ""Escaping violence""]","[""Protestant""]",analysis
"During the 2021 school year, among states with precinct-based voter registration requirements, how does Alaska's share of K-12 students enrolled in traditional public schools compare to the average share in states with relatively small unauthorized immigrant populations in 2022?",Alaska's share of K-12 students enrolled in traditional public schools is higher than the average share in states with relatively small unauthorized immigrant populations.,"[""chart_00113_04"", ""chart_00142_05"", ""chart_00144_08""]","[""Alaska"", ""Precinct residency"", ""Public School Enrollment"", ""Unauthorized immigrant population""]","[""Alaska""]",easy
"During a period when public concern about climate change reached its highest point among U.S. adults, a separate survey found that a matching percentage of people expressed strong frustration regarding corporate tax fairness. This shared percentage is higher than the rate at which the oldest age group actively seeks political news, as reported in a third survey. What is the percentage-point difference between the oldest age group's active news-seeking rate and this common percentage?",1 percentage point,"[""chart_00004_06"", ""chart_00213_02"", ""chart_00234_04""]","[""peak climate change concern"", ""corporate tax fairness frustration"", ""oldest age group news-seeking rate""]","[""Don't know/refused and other volunteered responses""]",long
"In surveys of U.S. Black Americans conducted in the early 2020s, does the high prevalence of negative healthcare experiences reported by Black Hispanic adults correlate with a strong demand for increased news coverage of health care issues among Black Americans overall?","No, only 5% of Black Americans expressed a desire for increased news coverage of health care issues, despite Black Hispanic adults reporting high rates of negative healthcare experiences such as feeling treated with less respect (37%) and receiving lower-quality care (37%).","[""chart_00080_06"", ""chart_00059_01""]","[""Black Hispanic Adults"", ""Topics that Black Americans wish news outlets covered more""]","[""Survey Date: Sept. 16-22, 2024""]",analysis
"In the American Trends Panel survey, young adults aged 18 to 29 expressed a particular rate of agreement with a disputed historical claim. This same demographic group also reported a specific level of belief in the ongoing possibility of achieving a national ideal. Among Hispanic voters, a certain percentage supported a presidential candidate. What is the sum of the historical agreement rate and the national ideal belief level for young adults, and how does this sum compare to the Hispanic voter support percentage?","The sum is 42 percentage points (3% + 39%), which is 7 percentage points lower than the 49% support among Hispanic voters.","[""chart_00186_04"", ""chart_00129_02"", ""chart_00224_02""]","[""Age group 18-29"", ""Hispanic Voters""]","[""American Trends Panel""]",long
"White Catholic registered voters express a particular level of concern regarding the migrant influx at the U.S.-Mexico border, categorizing it as a crisis. This demographic also has a certain rate of identifying as religiously unaffiliated within their political subgroup. The broader White voter group, which includes this demographic, demonstrates a specific percentage supporting the idea that legal immigrants fill jobs American citizens would like to have. How many percentage points higher is the crisis perception rate among White Catholic voters compared to the combined rate of their religiously unaffiliated identification and the White voter group's job support rate?",36 percentage points,"[""chart_00159_04"", ""chart_00237_02"", ""chart_00184_01""]","[""White Catholic"", ""White Voters""]","[""White Catholic""]",long
The percentage of Historically Black Protestants who view climate change as a serious problem is higher than their concern about the decline of marriage having a negative impact. This same subgroup's climate change concern exceeds the percentage of Black Protestants who see migrant influx as a minor problem. What is the percentage-point difference between Historically Black Protestants' climate change concern and their marriage decline concern?,34,"[""chart_00042_01"", ""chart_00048_01"", ""chart_00184_01""]","[""Historically Black Protestants"", ""Black Protestants""]","[""Protestant""]",long
"In the 2023 survey of U.S. Black adults, was the proportion who considered it extremely or very important for journalists to cover all sides of issues greater than the proportion who believed local journalists were in touch with their community?",Yes,"[""chart_00173_05"", ""chart_00081_03""]","[""U.S. Black adults"", ""journalists covering all sides of issues"", ""local journalists in touch with community""]","[""Survey Date: Sept. 16-22, 2024""]",easy
"Among Hispanic voters, is the percentage supporting Biden or Biden-leaning candidates higher than the percentage who believe legal immigrants mostly fill jobs that American citizens would like to have?",Yes,"[""chart_00224_02"", ""chart_00237_02""]","[""Biden/Lean Biden"", ""Would Like to Have""]","[""Hispanic Catholic""]",easy
"Among Western European countries with strong support for LGBT rights, did those with the highest levels of support also experience the largest declines in EU favorability between 2022 and 2024?","No, the countries with the highest support for LGBT rights (Sweden and Netherlands) did not experience the largest declines in EU favorability. Germany and France, which had slightly lower LGBT rights support, experienced the largest declines (15 percentage points each), while Sweden and Netherlands experienced smaller declines (10 and 8 percentage points respectively).","[""paragraph_00094_02"", ""chart_00112_02""]","[""LGBT rights"", ""European Union"", ""Western European countries""]","[""2023 Global Attitudes Survey""]",easy
"Among U.S. Protestant religious subgroups, is the gap in concern levels between border security issues and demographic changes in family structure larger for mainline Protestant communities compared to historically Black Protestant communities?","Yes, mainline Protestant communities show a larger gap (41 percentage points) between concern about border security issues and demographic changes in family structure compared to historically Black Protestant communities (37 percentage points), with both groups expressing higher concern about border security issues.","[""chart_00042_01"", ""chart_00184_01""]","[""Mainline Protestant"", ""Historically Black Protestant""]","[""Protestant""]",analysis
"Among registered voters, a Protestant subgroup with a higher representation in the Republican party shows a strong emphasis on judicial appointments as a critical election issue. This subgroup's political alignment contrasts with another Protestant subgroup historically associated with a distinct community. Within this historically connected subgroup, the difference between those expressing concern about declining marriage rates and those viewing it positively is a specific measure. What is the percentage-point difference in these perceptions?",The percentage-point difference is 20.,"[""chart_00136_04"", ""chart_00253_04"", ""chart_00042_01""]","[""White Evangelical"", ""Historically Black Protestant"", ""Supreme Court Appointments""]","[""Protestant""]",long
"In U.S. national surveys conducted between 2021 and 2024, which topic showed a greater proportion of respondents expressing uncertainty: the perceived impact of emerging economies on their country's future or the ethical considerations surrounding brain-computer interface technologies?",The perceived impact of emerging economies showed a greater proportion of respondents expressing uncertainty (35% in the U.S.) compared to brain-computer interface technologies (maximum 32% for any application).,"[""chart_00111_06"", ""chart_00064_02""]","[""Survey on Global Influence of Emerging Economies"", ""2021 survey""]","[""Don't know/refused and other volunteered responses""]",analysis
"Asian respondents demonstrated a specific preference for walkable communities, reported a particular rate of 'sometimes' leadership role participation during their upbringing, and identified racial bias in hiring as a major problem at a certain percentage. What is the percentage-point difference between the sum of the 'sometimes' leadership rate and the major problem percentage, and the walkable preference percentage?","The percentage-point difference is 30, calculated by adding 43% (sometimes leadership) and 49% (major problem in hiring) to get 92%, then subtracting 62% (walkable preference).","[""chart_00002_06"", ""chart_00071_02"", ""chart_00028_07""]","[""Preference for Walkable Communities"", ""Sometimes"", ""Major Problem""]","[""Asian Respondent Definition""]",long
"Despite religiously unaffiliated voters showing a strong preference for one presidential candidate over the other, Democratic-leaning voters have a lower percentage of religiously unaffiliated individuals compared to the overall voting population. What is the percentage-point difference in the representation of religiously unaffiliated voters between these two groups, and how does this contrast with the voting preference of religiously unaffiliated voters?","Democratic-leaning voters have 12 percentage points fewer religiously unaffiliated voters compared to the overall voting population (26% vs 38%). Despite this, religiously unaffiliated voters show a strong preference for Biden/Lean Biden candidates, with 69% supporting Biden compared to 28% supporting Trump.","[""chart_00159_04"", ""chart_00224_02""]","[""Religiously unaffiliated"", ""Democratic-leaning voters"", ""Biden/Lean Biden""]","[""American Trends Panel""]",easy
"Sweden's ideological right has experienced a decline in United Nations favorability. This decline is measured in percentage points. Poland exhibits a left-right gap in European Union favorability. This gap is also measured in percentage points. The sum of these two values is compared to the change in Poland's economic ratings, which is an increase. What is the percentage-point difference between the sum and the economic ratings increase?",2 percentage points,"[""paragraph_00252_03"", ""chart_00076_03"", ""chart_00114_02""]","[""ideological right"", ""Percentage change in economic ratings (2023-2024)""]","[""2023 Global Attitudes Survey""]",long
"U.S. adults who did not provide an answer about their feelings toward AI are excluded from public opinion analyses. This exclusion focuses attention on those who expressed clear sentiments, where a majority reported feeling more concerned than excited in 2023. Among those who had heard a lot about AI, the percentage expressing greater concern increased significantly from the previous year. Within the context of AI's impact on transportation safety, college-educated adults showed a particular pattern in their assessment of AI's role in making safe cars and trucks. What is the percentage-point difference between college-educated adults who believe AI helps versus those who believe it hurts in this specific area?",The percentage-point difference is 30.,"[""chart_00103_03"", ""chart_00025_02"", ""chart_00025_04""]","[""Respondents who did not give an answer"", ""Percentage of U.S. adults feeling more concerned than excited (2023)"", ""Making Safe Cars/Trucks""]","[""Respondents who did not give an answer""]",long
"Among emerging economies like Nigeria, did the change in positive perceptions of global governance institutions between 2023 and 2024 exceed the portion of the population that does not use the internet?","No, the decline in positive perceptions of global governance institutions between 2023 and 2024 (9 percentage points) was less than the portion of the population that does not use the internet (42%).","[""chart_00252_02"", ""chart_00068_02"", ""paragraph_00068_04""]","[""Nigeria"", ""Emerging Economies"", ""Favorable views of the United Nations"", ""Internet Users""]","[""Nigeria""]",easy
"Following a March 2023 survey on support for a government ban on TikTok, the share of adults aged 65 and older who support the ban has declined significantly. In the same period, Democrats became much more likely than Republicans to say the U.S. Supreme Court has too much power. Additionally, in a separate survey, Democrats were significantly more likely than Republicans to say labor unions have a positive effect on the country. What is the average of the percentage-point decline in support for the TikTok ban among adults 65 and older, the percentage-point gap in views of the Supreme Court's power between Democrats and Republicans, and the percentage-point gap in views of labor unions' positive effect between the same two parties?",34 percentage points,"[""paragraph_00104_01"", ""paragraph_00153_04"", ""chart_00238_06""]","[""March 2023 survey"", ""Adults 65 and older"", ""Democrats"", ""Republicans"", ""U.S. Supreme Court"", ""labor unions""]","[""Support""]",long
"Among Catholic respondents, does the level of concern about the issue of migrant influx at the U.S.-Mexico border exceed their level of concern about the decline in marriage rates?","Yes, 84% of Catholic respondents view the migrant influx as a crisis or major problem, which is higher than the 37% who perceive a negative impact from the decline in marriage rates.","[""chart_00184_01"", ""chart_00042_01""]","[""Minor problem"", ""Positive impact perception""]","[""Survey Data from Pew Research Center's Center Phone Surveys""]",easy
"Among the top four Asian countries of origin for immigrant eligible voters in the United States, which country shows the largest disparity in favorable views of the ancestral homeland between adults of that origin and other Asian American adults?",India,"[""paragraph_00258_07"", ""chart_00103_07""]","[""['Immigrant eligible voters', \\\""Asian American adults' views of ancestral homelands\\\""]""]","[""Survey of Asian American adults""]",analysis
"In countries with very high levels of internet usage, did favorable views of the United Nations increase or decrease between 2023 and 2024?",Favorable views of the United Nations decreased in countries with very high levels of internet usage between 2023 and 2024.,"[""chart_00068_02"", ""chart_00252_02""]","[""Favorable views of the United Nations"", ""Countries""]","[""2023 Global Attitudes Survey""]",easy
